obs_id,crime_type_pred
id_000273,10
id_000274,4
id_000275,5
id_000276,6
id_000277,6
id_000278,6
id_000279,11
id_000280,11
id_000281,8
id_000282,8
id_000283,5
id_000284,1
id_000285,9
id_000286,1
id_000287,1
id_000288,1
id_000289,8
id_000290,6
id_000291,10
id_000292,12
id_000293,6
id_000294,11
id_000295,1
id_000296,10
id_000297,6
id_000298,11
id_000299,10
id_000300,8
id_000301,1
id_000302,10
id_000303,2
id_000304,8
id_000305,5
id_000306,6
id_000307,6
id_000308,7
id_000309,7
id_000310,8
id_000311,10
id_000312,6
id_000313,3
id_000314,11
id_000315,1
id_000316,1
id_000317,6
id_000318,8
id_000319,10
id_000320,5
id_000321,6
id_000322,1
id_000323,10
id_000324,5
id_000325,11
id_000326,8
id_000327,3
id_000328,6
id_000329,8
id_000330,11
id_000331,12
id_000332,5
id_000333,12
id_000334,11
id_000335,12
id_000336,5
id_000337,4
id_000338,6
id_000339,12
id_000340,6
id_000341,1
id_000342,10
id_000343,12
id_000344,10
id_000345,10
id_000346,4
id_000347,10
id_000348,10
id_000349,11
id_000350,10
id_000351,10
id_000352,10
id_000353,6
id_000354,3
id_000355,1
id_000356,11
id_000357,3
id_000358,1
id_000359,12
id_000360,6
id_000361,1
id_000362,10
id_000363,3
id_000364,5
id_000365,11
id_000366,1
id_000367,10
id_000368,1
id_000369,9
id_000370,4
id_000371,10
id_000372,8
id_000373,5
id_000374,5
id_000375,1
id_000376,10
id_000377,11
id_000378,4
id_000379,11
id_000380,1
id_000381,8
id_000382,7
id_000383,3
id_000384,8
id_000385,1
id_000386,1
id_000387,9
id_000388,1
id_000389,6
id_000390,10
id_000391,1
id_000392,1
id_000393,6
id_000394,5
id_000395,11
id_000396,5
id_000397,4
id_000398,12
id_000399,10
id_000400,7
id_000401,5
id_000402,11
id_000403,8
id_000404,10
id_000405,8
id_000406,10
id_000407,1
id_000408,12
id_000409,6
id_000410,8
id_000411,9
id_000412,7
id_000413,8
id_000414,6
id_000415,1
id_000416,10
id_000417,11
id_000418,10
id_000419,8
id_000420,5
id_000421,6
id_000422,4
id_000423,1
id_000424,12
id_000425,10
id_000426,10
id_000427,5
id_000428,9
id_000429,11
id_000430,10
id_000431,12
id_000432,11
id_000433,11
id_000434,10
id_000435,6
id_000436,10
id_000437,4
id_000438,8
id_000439,3
id_000440,8
id_000441,10
id_000442,6
id_000443,1
id_000444,10
id_000445,8
id_000446,10
id_000447,3
id_000448,5
id_000449,9
id_000450,8
id_000451,8
id_000452,10
id_000453,8
id_000454,11
id_000455,1
id_000456,1
id_000457,10
id_000458,10
id_000459,7
id_000460,11
id_000461,1
id_000462,8
id_000463,12
id_000464,10
id_000465,3
id_000466,12
id_000467,5
id_000468,4
id_000469,1
id_000470,8
id_000471,3
id_000472,4
id_000473,1
id_000474,10
id_000475,10
id_000476,10
id_000477,8
id_000478,3
id_000479,6
id_000480,6
id_000481,8
id_000482,11
id_000483,10
id_000484,10
id_000485,1
id_000486,10
id_000487,6
id_000488,4
id_000489,12
id_000490,10
id_000491,8
id_000492,7
id_000493,7
id_000494,10
id_000495,5
id_000496,3
id_000497,8
id_000498,8
id_000499,6
id_000500,10
id_000501,11
id_000502,8
id_000503,5
id_000504,8
id_000505,8
id_000506,1
id_000507,1
id_000508,9
id_000509,7
id_000510,1
id_000511,1
id_000512,8
id_000513,5
id_000514,11
id_000515,8
id_000516,4
id_000517,5
id_000518,8
id_000519,3
id_000520,8
id_000521,6
id_000522,1
id_000523,1
id_000524,6
id_000525,12
id_000526,1
id_000527,8
id_000528,10
id_000529,3
id_000530,1
id_000531,3
id_000532,10
id_000533,6
id_000534,10
id_000535,10
id_000536,8
id_000537,6
id_000538,8
id_000539,8
id_000540,3
id_000541,8
id_000542,12
id_000543,1
id_000544,6
id_000545,3
id_000546,4
id_000547,8
id_000548,8
id_000549,10
id_000550,8
id_000551,6
id_000552,10
id_000553,3
id_000554,8
id_000555,11
id_000556,12
id_000557,6
id_000558,6
id_000559,5
id_000560,6
id_000561,3
id_000562,10
id_000563,12
id_000564,12
id_000565,5
id_000566,3
id_000567,11
id_000568,7
id_000569,10
id_000570,3
id_000571,7
id_000572,3
id_000573,8
id_000574,1
id_000575,5
id_000576,4
id_000577,4
id_000578,10
id_000579,8
id_000580,12
id_000581,3
id_000582,9
id_000583,11
id_000584,6
id_000585,8
id_000586,9
id_000587,8
id_000588,8
id_000589,8
id_000590,4
id_000591,10
id_000592,10
id_000593,8
id_000594,5
id_000595,3
id_000596,5
id_000597,11
id_000598,10
id_000599,8
id_000600,8
id_000601,11
id_000602,6
id_000603,10
id_000604,4
id_000605,6
id_000606,6
id_000607,3
id_000608,6
id_000609,3
id_000610,1
id_000611,3
id_000612,10
id_000613,1
id_000614,1
id_000615,11
id_000616,1
id_000617,5
id_000618,3
id_000619,5
id_000620,6
id_000621,3
id_000622,12
id_000623,4
id_000624,1
id_000625,5
id_000626,4
id_000627,8
id_000628,10
id_000629,7
id_000630,1
id_000631,3
id_000632,5
id_000633,5
id_000634,11
id_000635,1
id_000636,3
id_000637,1
id_000638,7
id_000639,10
id_000640,3
id_000641,10
id_000642,8
id_000643,3
id_000644,8
id_000645,12
id_000646,11
id_000647,10
id_000648,3
id_000649,10
id_000650,4
id_000651,8
id_000652,10
id_000653,1
id_000654,11
id_000655,1
id_000656,11
id_000657,3
id_000658,8
id_000659,4
id_000660,2
id_000661,5
id_000662,1
id_000663,6
id_000664,10
id_000665,6
id_000666,6
id_000667,10
id_000668,1
id_000669,6
id_000670,4
id_000671,10
id_000672,3
id_000673,5
id_000674,5
id_000675,6
id_000676,6
id_000677,3
id_000678,3
id_000679,3
id_000680,3
id_000681,8
id_000682,10
id_000683,8
id_000684,10
id_000685,5
id_000686,10
id_000687,8
id_000688,8
id_000689,10
id_000690,5
id_000691,1
id_000692,8
id_000693,9
id_000694,3
id_000695,8
id_000696,8
id_000697,10
id_000698,8
id_000699,8
id_000700,6
id_000701,7
id_000702,8
id_000703,8
id_000704,10
id_000705,3
id_000706,8
id_000707,12
id_000708,1
id_000709,6
id_000710,8
id_000711,1
id_000712,3
id_000713,5
id_000714,12
id_000715,6
id_000716,1
id_000717,12
id_000718,10
id_000719,7
id_000720,5
id_000721,10
id_000722,3
id_000723,5
id_000724,5
id_000725,11
id_000726,8
id_000727,10
id_000728,5
id_000729,6
id_000730,10
id_000731,11
id_000732,8
id_000733,8
id_000734,10
id_000735,8
id_000736,8
id_000737,8
id_000738,10
id_000739,1
id_000740,1
id_000741,8
id_000742,11
id_000743,12
id_000744,6
id_000745,8
id_000746,10
id_000747,10
id_000748,1
id_000749,1
id_000750,10
id_000751,9
id_000752,10
id_000753,8
id_000754,6
id_000755,3
id_000756,4
id_000757,2
id_000758,5
id_000759,8
id_000760,1
id_000761,5
id_000762,1
id_000763,5
id_000764,8
id_000765,5
id_000766,5
id_000767,8
id_000768,5
id_000769,10
id_000770,3
id_000771,11
id_000772,1
id_000773,10
id_000774,3
id_000775,10
id_000776,8
id_000777,2
id_000778,10
id_000779,2
id_000780,6
id_000781,1
id_000782,1
id_000783,5
id_000784,3
id_000785,1
id_000786,1
id_000787,4
id_000788,8
id_000789,3
id_000790,1
id_000791,10
id_000792,1
id_000793,8
id_000794,10
id_000795,5
id_000796,10
id_000797,4
id_000798,5
id_000799,10
id_000800,3
id_000801,12
id_000802,3
id_000803,6
id_000804,10
id_000805,1
id_000806,1
id_000807,10
id_000808,3
id_000809,7
id_000810,3
id_000811,1
id_000812,4
id_000813,9
id_000814,8
id_000815,10
id_000816,8
id_000817,3
id_000818,9
id_000819,3
id_000820,8
id_000821,10
id_000822,1
id_000823,6
id_000824,5
id_000825,3
id_000826,1
id_000827,3
id_000828,5
id_000829,9
id_000830,1
id_000831,5
id_000832,10
id_000833,10
id_000834,3
id_000835,4
id_000836,6
id_000837,1
id_000838,6
id_000839,3
id_000840,6
id_000841,8
id_000842,1
id_000843,11
id_000844,1
id_000845,1
id_000846,10
id_000847,5
id_000848,10
id_000849,5
id_000850,10
id_000851,8
id_000852,1
id_000853,5
id_000854,1
id_000855,8
id_000856,6
id_000857,8
id_000858,11
id_000859,8
id_000860,4
id_000861,5
id_000862,10
id_000863,6
id_000864,1
id_000865,6
id_000866,5
id_000867,10
id_000868,3
id_000869,6
id_000870,3
id_000871,2
id_000872,9
id_000873,12
id_000874,12
id_000875,3
id_000876,10
id_000877,3
id_000878,6
id_000879,8
id_000880,1
id_000881,3
id_000882,11
id_000883,9
id_000884,1
id_000885,11
id_000886,12
id_000887,11
id_000888,5
id_000889,8
id_000890,1
id_000891,10
id_000892,5
id_000893,10
id_000894,10
id_000895,6
id_000896,3
id_000897,5
id_000898,5
id_000899,8
id_000900,6
id_000901,10
id_000902,3
id_000903,4
id_000904,12
id_000905,3
id_000906,1
id_000907,8
id_000908,8
id_000909,1
id_000910,1
id_000911,10
id_000912,8
id_000913,8
id_000914,10
id_000915,11
id_000916,1
id_000917,6
id_000918,10
id_000919,10
id_000920,10
id_000921,8
id_000922,10
id_000923,6
id_000924,10
id_000925,1
id_000926,8
id_000927,10
id_000928,4
id_000929,5
id_000930,4
id_000931,10
id_000932,1
id_000933,10
id_000934,8
id_000935,3
id_000936,6
id_000937,11
id_000938,2
id_000939,10
id_000940,10
id_000941,3
id_000942,8
id_000943,8
id_000944,1
id_000945,11
id_000946,5
id_000947,10
id_000948,3
id_000949,1
id_000950,6
id_000951,10
id_000952,3
id_000953,11
id_000954,9
id_000955,12
id_000956,5
id_000957,10
id_000958,10
id_000959,8
id_000960,8
id_000961,5
id_000962,1
id_000963,8
id_000964,6
id_000965,1
id_000966,7
id_000967,4
id_000968,5
id_000969,8
id_000970,1
id_000971,8
id_000972,10
id_000973,7
id_000974,3
id_000975,3
id_000976,3
id_000977,10
id_000978,10
id_000979,1
id_000980,10
id_000981,6
id_000982,6
id_000983,8
id_000984,6
id_000985,8
id_000986,6
id_000987,1
id_000988,10
id_000989,4
id_000990,3
id_000991,11
id_000992,11
id_000993,9
id_000994,6
id_000995,1
id_000996,10
id_000997,3
id_000998,11
id_000999,11
id_001000,6
id_001001,8
id_001002,5
id_001003,3
id_001004,10
id_001005,8
id_001006,6
id_001007,5
id_001008,8
id_001009,3
id_001010,1
id_001011,5
id_001012,5
id_001013,3
id_001014,8
id_001015,8
id_001016,9
id_001017,2
id_001018,1
id_001019,10
id_001020,6
id_001021,4
id_001022,12
id_001023,11
id_001024,8
id_001025,6
id_001026,3
id_001027,3
id_001028,10
id_001029,8
id_001030,11
id_001031,3
id_001032,1
id_001033,1
id_001034,3
id_001035,1
id_001036,5
id_001037,5
id_001038,11
id_001039,12
id_001040,6
id_001041,3
id_001042,6
id_001043,9
id_001044,10
id_001045,1
id_001046,10
id_001047,6
id_001048,5
id_001049,8
id_001050,6
id_001051,3
id_001052,6
id_001053,10
id_001054,12
id_001055,6
id_001056,3
id_001057,10
id_001058,10
id_001059,5
id_001060,6
id_001061,6
id_001062,4
id_001063,5
id_001064,11
id_001065,1
id_001066,6
id_001067,6
id_001068,8
id_001069,8
id_001070,3
id_001071,12
id_001072,8
id_001073,10
id_001074,7
id_001075,8
id_001076,10
id_001077,10
id_001078,10
id_001079,8
id_001080,3
id_001081,8
id_001082,8
id_001083,10
id_001084,2
id_001085,3
id_001086,6
id_001087,3
id_001088,4
id_001089,8
id_001090,9
id_001091,10
id_001092,1
id_001093,6
id_001094,3
id_001095,1
id_001096,6
id_001097,12
id_001098,2
id_001099,8
id_001100,3
id_001101,10
id_001102,10
id_001103,1
id_001104,1
id_001105,5
id_001106,4
id_001107,10
id_001108,1
id_001109,6
id_001110,5
id_001111,3
id_001112,10
id_001113,10
id_001114,10
id_001115,8
id_001116,3
id_001117,4
id_001118,9
id_001119,8
id_001120,10
id_001121,6
id_001122,5
id_001123,10
id_001124,1
id_001125,12
id_001126,9
id_001127,1
id_001128,7
id_001129,4
id_001130,2
id_001131,1
id_001132,1
id_001133,9
id_001134,3
id_001135,9
id_001136,11
id_001137,10
id_001138,10
id_001139,5
id_001140,3
id_001141,5
id_001142,5
id_001143,10
id_001144,10
id_001145,6
id_001146,9
id_001147,4
id_001148,1
id_001149,10
id_001150,5
id_001151,10
id_001152,4
id_001153,5
id_001154,6
id_001155,6
id_001156,10
id_001157,1
id_001158,4
id_001159,10
id_001160,8
id_001161,8
id_001162,6
id_001163,9
id_001164,4
id_001165,3
id_001166,3
id_001167,1
id_001168,6
id_001169,11
id_001170,8
id_001171,11
id_001172,6
id_001173,5
id_001174,1
id_001175,8
id_001176,4
id_001177,6
id_001178,10
id_001179,1
id_001180,5
id_001181,10
id_001182,3
id_001183,12
id_001184,1
id_001185,6
id_001186,1
id_001187,10
id_001188,1
id_001189,11
id_001190,7
id_001191,6
id_001192,1
id_001193,3
id_001194,8
id_001195,9
id_001196,8
id_001197,3
id_001198,11
id_001199,12
id_001200,11
id_001201,10
id_001202,12
id_001203,8
id_001204,9
id_001205,8
id_001206,11
id_001207,12
id_001208,10
id_001209,1
id_001210,11
id_001211,8
id_001212,6
id_001213,12
id_001214,2
id_001215,1
id_001216,6
id_001217,10
id_001218,10
id_001219,1
id_001220,7
id_001221,3
id_001222,3
id_001223,11
id_001224,2
id_001225,10
id_001226,10
id_001227,4
id_001228,10
id_001229,5
id_001230,6
id_001231,3
id_001232,8
id_001233,5
id_001234,10
id_001235,3
id_001236,10
id_001237,3
id_001238,8
id_001239,1
id_001240,10
id_001241,12
id_001242,9
id_001243,11
id_001244,12
id_001245,9
id_001246,8
id_001247,10
id_001248,1
id_001249,1
id_001250,6
id_001251,12
id_001252,4
id_001253,12
id_001254,8
id_001255,8
id_001256,6
id_001257,1
id_001258,11
id_001259,10
id_001260,1
id_001261,7
id_001262,4
id_001263,5
id_001264,1
id_001265,11
id_001266,1
id_001267,9
id_001268,10
id_001269,8
id_001270,1
id_001271,5
id_001272,8
id_001273,10
id_001274,6
id_001275,6
id_001276,11
id_001277,6
id_001278,10
id_001279,1
id_001280,8
id_001281,10
id_001282,5
id_001283,11
id_001284,5
id_001285,10
id_001286,11
id_001287,2
id_001288,1
id_001289,6
id_001290,6
id_001291,11
id_001292,6
id_001293,10
id_001294,1
id_001295,8
id_001296,5
id_001297,6
id_001298,10
id_001299,5
id_001300,1
id_001301,3
id_001302,7
id_001303,5
id_001304,4
id_001305,5
id_001306,1
id_001307,5
id_001308,5
id_001309,8
id_001310,6
id_001311,3
id_001312,1
id_001313,3
id_001314,11
id_001315,1
id_001316,6
id_001317,6
id_001318,11
id_001319,7
id_001320,6
id_001321,8
id_001322,6
id_001323,8
id_001324,11
id_001325,12
id_001326,3
id_001327,8
id_001328,8
id_001329,10
id_001330,5
id_001331,6
id_001332,6
id_001333,12
id_001334,3
id_001335,5
id_001336,8
id_001337,10
id_001338,6
id_001339,1
id_001340,4
id_001341,12
id_001342,9
id_001343,1
id_001344,8
id_001345,10
id_001346,3
id_001347,1
id_001348,5
id_001349,1
id_001350,4
id_001351,12
id_001352,8
id_001353,8
id_001354,3
id_001355,10
id_001356,5
id_001357,2
id_001358,3
id_001359,4
id_001360,6
id_001361,6
id_001362,12
id_001363,2
id_001364,10
id_001365,11
id_001366,5
id_001367,6
id_001368,12
id_001369,6
id_001370,10
id_001371,8
id_001372,5
id_001373,7
id_001374,11
id_001375,10
id_001376,8
id_001377,7
id_001378,9
id_001379,8
id_001380,11
id_001381,3
id_001382,12
id_001383,8
id_001384,4
id_001385,11
id_001386,11
id_001387,8
id_001388,10
id_001389,12
id_001390,12
id_001391,12
id_001392,10
id_001393,11
id_001394,9
id_001395,9
id_001396,9
id_001397,9
id_001398,6
id_001399,9
id_001400,8
id_001401,3
id_001402,1
id_001403,2
id_001404,3
id_001405,9
id_001406,3
id_001407,8
id_001408,5
id_001409,1
id_001410,10
id_001411,6
id_001412,5
id_001413,2
id_001414,1
id_001415,5
id_001416,3
id_001417,10
id_001418,5
id_001419,6
id_001420,3
id_001421,6
id_001422,10
id_001423,3
id_001424,8
id_001425,10
id_001426,8
id_001427,8
id_001428,10
id_001429,12
id_001430,12
id_001431,1
id_001432,2
id_001433,10
id_001434,8
id_001435,3
id_001436,8
id_001437,5
id_001438,10
id_001439,6
id_001440,10
id_001441,8
id_001442,1
id_001443,1
id_001444,1
id_001445,6
id_001446,3
id_001447,11
id_001448,10
id_001449,10
id_001450,11
id_001451,3
id_001452,3
id_001453,12
id_001454,5
id_001455,9
id_001456,1
id_001457,8
id_001458,12
id_001459,5
id_001460,6
id_001461,11
id_001462,10
id_001463,10
id_001464,6
id_001465,6
id_001466,11
id_001467,3
id_001468,10
id_001469,3
id_001470,10
id_001471,10
id_001472,4
id_001473,3
id_001474,8
id_001475,8
id_001476,6
id_001477,8
id_001478,3
id_001479,6
id_001480,3
id_001481,1
id_001482,3
id_001483,7
id_001484,6
id_001485,1
id_001486,1
id_001487,10
id_001488,1
id_001489,1
id_001490,8
id_001491,1
id_001492,8
id_001493,8
id_001494,9
id_001495,8
id_001496,5
id_001497,6
id_001498,1
id_001499,12
id_001500,1
id_001501,10
id_001502,3
id_001503,11
id_001504,8
id_001505,7
id_001506,8
id_001507,3
id_001508,1
id_001509,3
id_001510,12
id_001511,3
id_001512,11
id_001513,1
id_001514,4
id_001515,8
id_001516,3
id_001517,12
id_001518,8
id_001519,3
id_001520,12
id_001521,12
id_001522,8
id_001523,8
id_001524,11
id_001525,4
id_001526,11
id_001527,10
id_001528,1
id_001529,11
id_001530,3
id_001531,6
id_001532,11
id_001533,1
id_001534,3
id_001535,10
id_001536,8
id_001537,1
id_001538,1
id_001539,5
id_001540,1
id_001541,10
id_001542,12
id_001543,11
id_001544,5
id_001545,8
id_001546,1
id_001547,3
id_001548,8
id_001549,6
id_001550,3
id_001551,3
id_001552,1
id_001553,10
id_001554,3
id_001555,8
id_001556,10
id_001557,11
id_001558,12
id_001559,3
id_001560,1
id_001561,3
id_001562,6
id_001563,8
id_001564,11
id_001565,4
id_001566,3
id_001567,8
id_001568,3
id_001569,4
id_001570,4
id_001571,10
id_001572,10
id_001573,8
id_001574,12
id_001575,5
id_001576,5
id_001577,10
id_001578,7
id_001579,6
id_001580,3
id_001581,10
id_001582,8
id_001583,8
id_001584,10
id_001585,3
id_001586,10
id_001587,6
id_001588,11
id_001589,5
id_001590,3
id_001591,5
id_001592,4
id_001593,6
id_001594,11
id_001595,10
id_001596,5
id_001597,7
id_001598,8
id_001599,4
id_001600,3
id_001601,1
id_001602,10
id_001603,8
id_001604,3
id_001605,3
id_001606,10
id_001607,7
id_001608,3
id_001609,10
id_001610,8
id_001611,8
id_001612,1
id_001613,11
id_001614,3
id_001615,10
id_001616,10
id_001617,10
id_001618,6
id_001619,1
id_001620,3
id_001621,6
id_001622,8
id_001623,5
id_001624,7
id_001625,6
id_001626,3
id_001627,4
id_001628,10
id_001629,11
id_001630,1
id_001631,10
id_001632,3
id_001633,8
id_001634,10
id_001635,8
id_001636,3
id_001637,1
id_001638,10
id_001639,1
id_001640,8
id_001641,3
id_001642,1
id_001643,3
id_001644,3
id_001645,8
id_001646,10
id_001647,3
id_001648,4
id_001649,12
id_001650,10
id_001651,6
id_001652,10
id_001653,5
id_001654,10
id_001655,1
id_001656,10
id_001657,8
id_001658,3
id_001659,8
id_001660,3
id_001661,9
id_001662,3
id_001663,10
id_001664,3
id_001665,3
id_001666,9
id_001667,3
id_001668,6
id_001669,1
id_001670,3
id_001671,1
id_001672,8
id_001673,1
id_001674,1
id_001675,1
id_001676,8
id_001677,3
id_001678,8
id_001679,6
id_001680,5
id_001681,8
id_001682,8
id_001683,12
id_001684,1
id_001685,6
id_001686,5
id_001687,1
id_001688,8
id_001689,3
id_001690,10
id_001691,1
id_001692,3
id_001693,10
id_001694,6
id_001695,1
id_001696,7
id_001697,6
id_001698,1
id_001699,3
id_001700,10
id_001701,12
id_001702,6
id_001703,1
id_001704,10
id_001705,1
id_001706,10
id_001707,3
id_001708,8
id_001709,1
id_001710,8
id_001711,9
id_001712,4
id_001713,3
id_001714,10
id_001715,7
id_001716,1
id_001717,8
id_001718,8
id_001719,1
id_001720,10
id_001721,11
id_001722,12
id_001723,1
id_001724,11
id_001725,10
id_001726,10
id_001727,6
id_001728,6
id_001729,8
id_001730,5
id_001731,10
id_001732,1
id_001733,6
id_001734,6
id_001735,1
id_001736,1
id_001737,1
id_001738,10
id_001739,1
id_001740,10
id_001741,8
id_001742,12
id_001743,8
id_001744,6
id_001745,5
id_001746,3
id_001747,3
id_001748,10
id_001749,1
id_001750,7
id_001751,8
id_001752,10
id_001753,1
id_001754,2
id_001755,11
id_001756,5
id_001757,9
id_001758,4
id_001759,5
id_001760,3
id_001761,9
id_001762,10
id_001763,3
id_001764,10
id_001765,7
id_001766,8
id_001767,10
id_001768,5
id_001769,1
id_001770,7
id_001771,1
id_001772,6
id_001773,10
id_001774,12
id_001775,10
id_001776,10
id_001777,10
id_001778,11
id_001779,11
id_001780,3
id_001781,4
id_001782,4
id_001783,1
id_001784,1
id_001785,8
id_001786,1
id_001787,10
id_001788,8
id_001789,1
id_001790,5
id_001791,8
id_001792,10
id_001793,1
id_001794,6
id_001795,11
id_001796,3
id_001797,7
id_001798,5
id_001799,11
id_001800,11
id_001801,5
id_001802,10
id_001803,6
id_001804,9
id_001805,3
id_001806,6
id_001807,5
id_001808,6
id_001809,4
id_001810,5
id_001811,3
id_001812,1
id_001813,10
id_001814,6
id_001815,3
id_001816,1
id_001817,1
id_001818,5
id_001819,6
id_001820,8
id_001821,5
id_001822,6
id_001823,3
id_001824,8
id_001825,8
id_001826,10
id_001827,1
id_001828,8
id_001829,3
id_001830,5
id_001831,6
id_001832,3
id_001833,4
id_001834,8
id_001835,11
id_001836,12
id_001837,8
id_001838,5
id_001839,10
id_001840,8
id_001841,10
id_001842,6
id_001843,6
id_001844,1
id_001845,1
id_001846,5
id_001847,8
id_001848,3
id_001849,10
id_001850,10
id_001851,12
id_001852,6
id_001853,1
id_001854,4
id_001855,11
id_001856,10
id_001857,8
id_001858,6
id_001859,5
id_001860,6
id_001861,5
id_001862,10
id_001863,10
id_001864,1
id_001865,3
id_001866,10
id_001867,6
id_001868,10
id_001869,10
id_001870,10
id_001871,1
id_001872,10
id_001873,3
id_001874,7
id_001875,10
id_001876,8
id_001877,10
id_001878,1
id_001879,8
id_001880,10
id_001881,3
id_001882,3
id_001883,3
id_001884,4
id_001885,12
id_001886,1
id_001887,8
id_001888,3
id_001889,3
id_001890,10
id_001891,11
id_001892,8
id_001893,7
id_001894,1
id_001895,4
id_001896,4
id_001897,5
id_001898,3
id_001899,3
id_001900,5
id_001901,5
id_001902,4
id_001903,10
id_001904,6
id_001905,11
id_001906,10
id_001907,10
id_001908,11
id_001909,1
id_001910,10
id_001911,1
id_001912,9
id_001913,3
id_001914,8
id_001915,8
id_001916,1
id_001917,1
id_001918,4
id_001919,9
id_001920,1
id_001921,10
id_001922,11
id_001923,12
id_001924,11
id_001925,11
id_001926,9
id_001927,11
id_001928,8
id_001929,8
id_001930,5
id_001931,12
id_001932,5
id_001933,1
id_001934,5
id_001935,5
id_001936,10
id_001937,8
id_001938,12
id_001939,9
id_001940,8
id_001941,3
id_001942,8
id_001943,8
id_001944,11
id_001945,11
id_001946,3
id_001947,3
id_001948,1
id_001949,3
id_001950,1
id_001951,8
id_001952,10
id_001953,11
id_001954,10
id_001955,8
id_001956,6
id_001957,1
id_001958,8
id_001959,3
id_001960,11
id_001961,6
id_001962,3
id_001963,11
id_001964,12
id_001965,10
id_001966,5
id_001967,8
id_001968,10
id_001969,5
id_001970,10
id_001971,12
id_001972,11
id_001973,5
id_001974,11
id_001975,6
id_001976,11
id_001977,9
id_001978,10
id_001979,4
id_001980,10
id_001981,8
id_001982,5
id_001983,10
id_001984,10
id_001985,5
id_001986,12
id_001987,3
id_001988,8
id_001989,5
id_001990,5
id_001991,11
id_001992,3
id_001993,2
id_001994,6
id_001995,4
id_001996,8
